JUnit version 4.12
.Test started at Thu Oct 20 14:59:34 UTC 2016
Insertions: 8,589,934,592 (approx: 65,536 GiB)
Thread count: 128
Maximum FPSet table count is: 17,179,869,184 (approx: 131,072 GiB)
FPSet lock count is: 32768
FPSet bucket count is: 1073741824
Testing tlc2.tool.fp.MSBDiskFPSet
1476975637687 s; 466,422,939 insertions/min; 0.03 load factor
Producer: 38, puts: 67171160, puts/collisions: none
Producer: 39, puts: 67127331, puts/collisions: none
Producer: 40, puts: 67495574, puts/collisions: none
Producer: 41, puts: 67108864, puts/collisions: none
Producer: 42, puts: 67114433, puts/collisions: none
Producer: 43, puts: 67447305, puts/collisions: none
Producer: 44, puts: 67197000, puts/collisions: none
Producer: 45, puts: 67177097, puts/collisions: none
Producer: 46, puts: 68247443, puts/collisions: none
Producer: 47, puts: 67341337, puts/collisions: none
Producer: 48, puts: 67108864, puts/collisions: none
Producer: 49, puts: 67156393, puts/collisions: none
Producer: 50, puts: 67108864, puts/collisions: none
Producer: 51, puts: 67219209, puts/collisions: none
Producer: 52, puts: 70600973, puts/collisions: none
Producer: 53, puts: 67108864, puts/collisions: none
Producer: 54, puts: 67401491, puts/collisions: none
Producer: 55, puts: 67108864, puts/collisions: none
Producer: 56, puts: 67587783, puts/collisions: none
Producer: 57, puts: 67257269, puts/collisions: none
Producer: 58, puts: 67108864, puts/collisions: none
Producer: 59, puts: 67242764, puts/collisions: none
Producer: 60, puts: 67251644, puts/collisions: none
Producer: 61, puts: 67108864, puts/collisions: none
Producer: 62, puts: 67108864, puts/collisions: none
Producer: 63, puts: 67108864, puts/collisions: none
Producer: 64, puts: 67108864, puts/collisions: none
Producer: 65, puts: 67110138, puts/collisions: none
Producer: 66, puts: 67364631, puts/collisions: none
Producer: 67, puts: 67108864, puts/collisions: none
Producer: 68, puts: 67108864, puts/collisions: none
Producer: 69, puts: 67245693, puts/collisions: none
Producer: 70, puts: 67108864, puts/collisions: none
Producer: 71, puts: 67108864, puts/collisions: none
Producer: 72, puts: 67108864, puts/collisions: none
Producer: 73, puts: 67599413, puts/collisions: none
Producer: 74, puts: 67146224, puts/collisions: none
Producer: 75, puts: 67108864, puts/collisions: none
Producer: 76, puts: 67847402, puts/collisions: none
Producer: 77, puts: 67483411, puts/collisions: none
Producer: 78, puts: 67108864, puts/collisions: none
Producer: 79, puts: 67832493, puts/collisions: none
Producer: 80, puts: 67258731, puts/collisions: none
Producer: 81, puts: 67108864, puts/collisions: none
Producer: 82, puts: 67308900, puts/collisions: none
Producer: 83, puts: 67108864, puts/collisions: none
Producer: 84, puts: 67648021, puts/collisions: none
Producer: 85, puts: 67108864, puts/collisions: none
Producer: 86, puts: 67108864, puts/collisions: none
Producer: 87, puts: 67304683, puts/collisions: none
Producer: 88, puts: 67154376, puts/collisions: none
Producer: 89, puts: 67108864, puts/collisions: none
Producer: 90, puts: 67108864, puts/collisions: none
Producer: 91, puts: 67108864, puts/collisions: none
Producer: 92, puts: 68619707, puts/collisions: none
Producer: 93, puts: 68044029, puts/collisions: none
Producer: 94, puts: 68511887, puts/collisions: none
Producer: 95, puts: 67868806, puts/collisions: none
Producer: 96, puts: 67157840, puts/collisions: none
Producer: 97, puts: 69282634, puts/collisions: none
Producer: 98, puts: 67108864, puts/collisions: none
Producer: 99, puts: 67108864, puts/collisions: none
Producer: 100, puts: 67108864, puts/collisions: none
Producer: 101, puts: 67469561, puts/collisions: none
Producer: 102, puts: 67301509, puts/collisions: none
Producer: 103, puts: 67173660, puts/collisions: none
Producer: 104, puts: 67108864, puts/collisions: none
Producer: 105, puts: 67108864, puts/collisions: none
Producer: 106, puts: 67108864, puts/collisions: none
Producer: 107, puts: 67108864, puts/collisions: none
Producer: 108, puts: 67108864, puts/collisions: none
Producer: 109, puts: 67345225, puts/collisions: none
Producer: 110, puts: 68878139, puts/collisions: none
Producer: 111, puts: 67417847, puts/collisions: none
Producer: 112, puts: 67108864, puts/collisions: none
Producer: 113, puts: 67108864, puts/collisions: none
Producer: 114, puts: 67228197, puts/collisions: none
Producer: 115, puts: 67108864, puts/collisions: none
Producer: 116, puts: 67108864, puts/collisions: none
Producer: 117, puts: 67108864, puts/collisions: none
Producer: 118, puts: 67108864, puts/collisions: none
Producer: 119, puts: 67108864, puts/collisions: none
Producer: 120, puts: 67509588, puts/collisions: none
Producer: 121, puts: 67219555, puts/collisions: none
Producer: 122, puts: 67201475, puts/collisions: none
Producer: 123, puts: 67108864, puts/collisions: none
Producer: 124, puts: 68320070, puts/collisions: none
Producer: 125, puts: 67108864, puts/collisions: none
Producer: 126, puts: 67417436, puts/collisions: none
Producer: 127, puts: 67108864, puts/collisions: none
Total puts: 8626229380, total collisions: 0, total load factor: 0.502, duration: 618925 ms, reprobe: 3417269200.
1476976196626 s; Total 836,220,000 insertions/min; 0.5 load factor
Test finished at Thu Oct 20 15:09:56 UTC 2016
E.Test started at Thu Oct 20 15:09:56 UTC 2016
Insertions: 8,589,934,592 (approx: 65,536 GiB)
Thread count: 128
Test finished at Thu Oct 20 15:09:56 UTC 2016
.Test started at Thu Oct 20 15:09:56 UTC 2016
Insertions: 8,589,934,592 (approx: 65,536 GiB)
Thread count: 128
Test finished at Thu Oct 20 15:09:56 UTC 2016
.Test started at Thu Oct 20 15:09:56 UTC 2016
Insertions: 8,589,934,592 (approx: 65,536 GiB)
Thread count: 128
Test finished at Thu Oct 20 15:09:56 UTC 2016

Time: 622.51
There was 1 failure:
1) testMaxFPSetSizeRnd(tlc2.tool.fp.MultiThreadedMSBDiskFPSetTest)
java.lang.AssertionError
	at org.junit.Assert.fail(Assert.java:86)
	at org.junit.Assert.assertTrue(Assert.java:41)
	at org.junit.Assert.assertTrue(Assert.java:52)
	at tlc2.tool.fp.MultiThreadedFPSetTest.doTest(MultiThreadedFPSetTest.java:172)
	at tlc2.tool.fp.MultiThreadedFPSetTest.testMaxFPSetSizeRnd(MultiThreadedFPSetTest.java:67)
	at sun.reflect.NativeMethodAccessorImpl.invoke0(Native Method)
	at sun.reflect.NativeMethodAccessorImpl.invoke(NativeMethodAccessorImpl.java:62)
	at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:43)
	at java.lang.reflect.Method.invoke(Method.java:498)
	at org.junit.runners.model.FrameworkMethod$1.runReflectiveCall(FrameworkMethod.java:50)
	at org.junit.internal.runners.model.ReflectiveCallable.run(ReflectiveCallable.java:12)
	at org.junit.runners.model.FrameworkMethod.invokeExplosively(FrameworkMethod.java:47)
	at org.junit.internal.runners.statements.InvokeMethod.evaluate(InvokeMethod.java:17)
	at org.junit.internal.runners.statements.RunBefores.evaluate(RunBefores.java:26)
	at org.junit.internal.runners.statements.RunAfters.evaluate(RunAfters.java:27)
	at org.junit.runners.ParentRunner.runLeaf(ParentRunner.java:325)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:78)
	at org.junit.runners.BlockJUnit4ClassRunner.runChild(BlockJUnit4ClassRunner.java:57)
	at org.junit.runners.ParentRunner$3.run(ParentRunner.java:290)
	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:71)
	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:288)
	at org.junit.runners.ParentRunner.access$000(ParentRunner.java:58)
	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:268)
	at org.junit.runners.ParentRunner.run(ParentRunner.java:363)
	at org.junit.runners.Suite.runChild(Suite.java:128)
	at org.junit.runners.Suite.runChild(Suite.java:27)
	at org.junit.runners.ParentRunner$3.run(ParentRunner.java:290)
	at org.junit.runners.ParentRunner$1.schedule(ParentRunner.java:71)
	at org.junit.runners.ParentRunner.runChildren(ParentRunner.java:288)
	at org.junit.runners.ParentRunner.access$000(ParentRunner.java:58)
	at org.junit.runners.ParentRunner$2.evaluate(ParentRunner.java:268)
	at org.junit.runners.ParentRunner.run(ParentRunner.java:363)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:137)
	at org.junit.runner.JUnitCore.run(JUnitCore.java:115)
	at org.junit.runner.JUnitCore.runMain(JUnitCore.java:77)
	at org.junit.runner.JUnitCore.main(JUnitCore.java:36)

FAILURES!!!
Tests run: 4,  Failures: 1

page_defrag = [always] madvise never
scaling_governor = powersave
kernel.numa_balancing = 1
Running test: FingerPrintGenerator
